name,location,price_in_lakhs,area_in_sqft,bhk,has_rating
anry homes,"radha avenue, valasaravakkam",76.56,880,2,0
"clover villa,new villa",pallikaranai,85.0,735,4,0
arun excello hari priya,guduvancheri,19.0,390,1,0
"propguider,jubilee residences",guduvancheri,18.96,480,1,0
emerald enclave,"janakiraman colony, villivakkam",40.0,753,2,0
rkc pride,kolathur,78.0,1000,2,0
"guduvancheri, chennai, chennai south",guduvancheri,46.0,800,2,0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",40.0,995,2,0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",36.5,850,2,0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",39.0,920,2,0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",40.0,1100,2,0
golden opulence,poonamallee,45.0,691,2,1
"camp road, selaiyur, chennai south","camp road, selaiyur",119.0,1163,3,0
"selaiyur, chennai, chennai south",selaiyur,119.0,1163,3,0
lakshmi flat,kovilambakkam,81.9,1260,3,0
mahalakshmi nagar,mangadu,110.00000000000001,1200,5,0
"baba foundations, madipakkam, chennai","senthuran colony, madipakkam",60.0,1172,2,0
doshi euphoria,perungudi,63.9,785,2,1
doshi risington,"karapakkam, omr",85.0,1024,2,0
"thaiyur, omr, chennai south","thaiyur, omr",80.0,865,3,0
scc homes,kilpauk,165.0,1204,3,0
"uthandi, ecr, chennai south","uthandi, ecr",349.0,1600,4,0
"guduvancheri, chennai, chennai south",guduvancheri,42.5,910,2,0
livehomes,old pallavaram,64.66,995,2,0
on request,alwarpet,379.0,1600,3,0
on request,kovur,50.0,760,2,0
livehomes,"west tambaram,  south",74.01,1560,3,0
"mugalivakkam, chennai, chennai west",mugalivakkam,180.0,1000,3,0
"guduvancheri, chennai, chennai south",guduvancheri,55.0,1005,2,0
"guduvancheri, chennai, chennai south",guduvancheri,54.95,1005,2,0
lml arshiya,kattupakkam,69.0,992,2,0
pacifica pride towers,padur,70.0,1147,2,1
zion,ganallur,86.78,1315,3,0
on request,guduvancheri,38.0,950,2,0
spik & span madipakkam,madipakkam,65.86,967,2,0
"guduvancheri, chennai, chennai south",guduvancheri,46.0,833,2,0
"kayarambedu, chennai, chennai south",kayarambedu,75.0,880,3,0
ceebros pranav,"haddows road, nungambakkam",310.0,1650,3,0
raja estate,choolaimedu,80.0,710,2,0
"kayarambedu, chennai, chennai south",kayarambedu,76.0,870,3,0
"guduvancheri, chennai, chennai south",guduvancheri,43.0,910,2,0
"guduvancheri, chennai, chennai south",guduvancheri,99.0,1200,3,0
eta rosedale,padur,81.5,1631,3,0
aishwaryam majestica,medavakkam,72.0,1141,3,0
"perumanttunallur, chennai, chennai south",perumanttunallur,83.0,1005,3,0
pacifica aurum,padur,85.0,1463,3,1
pacifica aurum,padur,85.0,1468,3,1
pacifica aurum,padur,75.0,1261,2,1
pacifica aurum,padur,75.0,1361,2,1
orchid gardens,perungalathur,53.24,1024,2,0
on requst,valasaravakkam,123.0,1380,3,0
abhiramapuram 2bhk flat no lift,abhiramapuram,110.00000000000001,820,2,0
"gerugambakkam, chennai, chennai west",gerugambakkam,95.0,1200,2,0
on request,"velan nagar, valasaravakkam",98.0,1206,3,0
uthandi seaside,"uthandi, ecr",125.0,1600,3,0
sri sai ram flats,porur gardens,67.0,958,2,0
sri sai resident,perumbakkam,83.68,900,3,0
"kanathur, ecr, chennai south","kanathur, ecr",220.00000000000003,1700,4,0
sri sai villas,perumbakkam,105.0,1400,3,0
sri sai villas,perumbakkam,143.0,1800,4,0
ayyan achyut flats,kovilambakkam,68.88,1013,2,0
casagrand royale,ganallur,95.0,1048,2,1
"mangadu, chennai, chennai west",mangadu,75.0,880,2,0
new flat,kolathur,41.56,681,2,0
svf homes,ambattur,42.0,852,2,0
new flat,kolathur,41.59,680,2,0
new flat,kolathur,41.63,682,2,0
o request,ayanambakkam,46.55,665,1,0
happy homes,kolathur,84.52,1168,3,0
happy homes,ambattur,74.45,1144,3,0
vinayagaburam,kolathur,43.16,704,2,0
"propguider,exurb","thiruporur, omr",18.0,395,1,0
asv alexandria,ganallur,170.0,1850,3,1
new flat,ambattur,44.96,971,2,0
residential apartment,pallikaranai,56.71,1031,2,0
shri sai garden,perumbakkam,98.0,1200,3,0
jayam sri sai garden hill view,perumbakkam,77.5,900,2,0
shri sai garden,perumbakkam,89.0,1200,2,0
vinayagaburam,kolathur,50.0,796,2,0
hema homes,"s kolathur, kovilambakkam",70.85,984,2,0
hema homes,"s kolathur, kovilambakkam",64.51,896,2,0
new flat,valasaravakkam,85.4,980,2,0
new flat,valasaravakkam,76.56,880,2,0
kaaviya gardens prem enclave,valasaravakkam,52.24,520,1,0
sri sai resident,perumbakkam,86.45,923,3,0
sri sai villas,perumbakkam,96.0,1200,3,0
saradeuz paradise,perumbakkam,79.0,1275,3,0
doshi firstnest,chromepet,75.4,1294,3,1
aravind flats,"north banu nagar, ambattur",86.0,1225,3,0
on request,"agaramthen, vandalur kelambakkam road",35.0,700,2,0
sri sai garden hill view,perumbakkam,84.5,1000,3,0
plaza elite acres,perumbakkam,39.9,637,2,0
adyar karpaga garden new flat &duplex flat,adyar,400.0,2200,3,0
srb smiley house,"ballard street, perambur",98.32,1311,3,0
sai keerthi homes,iyyappanthangal,77.5,1186,3,0
sri sai ram apartment,porur gardens,67.0,860,2,0
dharman's divine,perumbakkam,57.45,1045,2,0
"iyyappanthangal, chennai, chennai west",iyyappanthangal,47.0,789,2,0
on request,kattupakkam,89.0,1243,3,0
on request,guduvancheri,32.9,618,2,0
arun excello heights,oragadam,34.9,985,2,0
"red hills, chennai, chennai north",red hills,31.85,601,1,0
on request,"karapakkam, omr",135.0,1308,3,0
arihant panache,"mangali nagar, arumbakkam",243.00000000000003,1826,3,0
casagrand pavilion,"thalambur, omr",84.0,1020,2,1
casagrand pavilion,"thalambur, omr",87.0,1000,2,1
"ayyapakkam, chennai, chennai west",ayyapakkam,98.0,778,3,0
sri sai swarna bhoomi,"thalambur, omr",85.63,1000,2,0
casagrand pavilion,"thalambur, omr",86.5,900,2,1
emami tejomaya,navalur,88.0,1158,2,1
casagrand pavilion,"thalambur, omr",79.5,900,2,1
"kolapakkam, chennai, chennai west",kolapakkam,160.0,1251,3,0
sss jayam homes,madhavaram,87.0,900,2,0
steps stone vatsa,kattupakkam,72.0,1055,3,0
steps stone vatsa,kattupakkam,65.0,974,2,0
"bharathi nagar,ayanavaram, chennai, chennai north","bharathi nagar,ayanavaram",220.00000000000003,820,6,0
new flat,kolathur,41.48,680,2,0
purva somerset house,"dy,  south",459.99999999999994,3739,4,1
tower of adyar by nahar,adyar,374.0,2416,4,1
"adyar, chennai, chennai south",adyar,357.0,1948,3,0
jayam sri sai garden hill view,perumbakkam,88.0,1000,3,0
orchid garden,old perungalathur,44.15,849,2,0
on request,thirumazhisai,59.78,1065,3,0
livehomes,adambakkam,120.0,1093,3,0
"maduravoyal, chennai, chennai west",maduravoyal,,3120,3,0
ruby residency,"irumbuliyur, west tambaram",45.0,804,2,0
"gerugambakkam, chennai, chennai west",gerugambakkam,88.0,800,3,0
"kundrathur, chennai, chennai south",kundrathur,125.0,800,3,0
ramcons dominion,nungambakkam,265.0,1658,3,0
isha shubham,perungalathur,65.0,966,2,0
isha shubham,perungalathur,83.0,1495,3,0
orchid garden,perungalathur,44.09,848,2,0
orchid park,tambaram,48.45,932,2,0
shriram park 63,perungalathur,129.0,1225,2,1
"gerugambakkam, chennai, chennai west",gerugambakkam,145.0,1150,3,0
orchid garden,"west tambaram,  south",70.65,1359,3,0
orchid garden,"west tambaram,  south",48.45,932,2,0
orchid garden,perungalathur,53.24,1024,2,0
orchid garden,perungalathur,75.75,1457,3,0
orchid garden,perungalathur,70.65,1359,3,0
malles ahaana,pallikaranai,91.62,1527,3,0
malles ahaana,pallikaranai,90.54,1509,3,0
pratyusha enclave,"bhel nagar,medavakkam",80.0,1110,3,0
"moulivakkam, chennai, chennai west",moulivakkam,140.0,900,3,0
amarprakash palm riviera chennai,thirumudivakkam,53.0,1316,3,0
casagrand pavilion,"thalambur, omr",80.0,1000,2,1
jayam sri sai avenue annexe,navalur,73.58,900,2,1
sri sai swarna bhoomi,navalur,78.0,900,2,0
"vgp layout, ecr, chennai south","vgp layout, ecr",409.99999999999994,2800,3,0
radiance empire,perambur,85.0,940,2,1
rp mahalaxmi,valasaravakkam,70.0,875,2,0
raj palani residency,"dhandeeswaram, velachery",177.0,1576,3,0
casagrand urbano phase 1,ponmar,110.00000000000001,1600,3,0
palms prudential,thiruverkadu,60.0,1157,3,0
"block 10 jj nagar, mogappair, chennai north","block 10 jj nagar, mogappair",65.0,468,3,0
on request,sithalapakkam,33.0,708,2,0
tdc best,"ram nagar, madipakkam",55.0,970,2,0
on request,"padhuvancherry, madambakkam",31.7,634,2,0
new flat,kolathur,50.0,791,2,0
"sathya homes, arunothaya nagar 1st cross street",nanmangalam,40.0,700,2,0
"svf lake view garden,ambattur chennai north",ambattur,42.0,971,2,0
"mathur, chennai, chennai north",mathur,100.0,864,3,0
on request,pallikaranai,57.7,932,2,0
arc residency,royapettah,77.0,720,2,0
shiv apartment,"vadapalani,  south",77.0,1062,2,0
stepsstone madhav,nanmangalam,28.0,530,1,0
apartment,medavakkam,66.0,1003,2,0
gandhi nagar,adyar,150.0,816,2,0
sri raghavendra apartment,triplicane,47.0,503,1,0
srb ruby homes,perambur,80.0,1078,3,0
shanti enclave,madipakkam,55.0,947,2,0
new apartment,sembakkam,84.0,1325,3,0
"sai villas, thaiyur, omr","thaiyur, omr",35.0,700,2,0
"sterling bay, mahapallipuram, chennai","mahabalipuram, ecr",30.0,708,2,0
on request,"padhuvancherry, madambakkam",33.2,664,2,0
"kolapakkam, chennai, chennai west",kolapakkam,55.0,884,2,0
srb ruby homes,perambur,80.0,1076,3,0
"gerugambakkam, chennai, chennai west",gerugambakkam,64.0,600,2,0
happy homes,kolathur,84.68,1161,3,0
"thirumullaivoyal, chennai, chennai north",thirumullaivoyal,185.0,2400,3,0
happy homes,"banu nagar, ambattur",60.44,934,2,0
mega apartment,"od garden, kolapakkam",66.0,1132,2,0
new apartment,medavakkam,75.0,1133,3,0
livehomes,pallikaranai,58.71,995,2,0
srb ruby home,perambur,74.0,937,2,0
"minjur, chennai, chennai north",jur,38.0,1918,2,0
livehomes,adyar,227.0,1390,3,0
navganesh eminent,kolathur,50.08,796,2,0
livehomes,madipakkam,69.2,815,2,0
"sai gokul avenue, thiruporur, omr","thiruporur, omr",48.0,1000,3,0
srb coral house,perambur,79.95,1066,3,0
prestige bella vista,porur,125.0,1494,2,1
sri smiley house,perambur,75.0,757,2,0
orchid garden,"west tambaram,  south",53.24,1024,2,0
sri sai resident,perumbakkam,99.0,1000,4,0
"kovur, chennai, chennai west",kovur,78.0,800,2,0
new flat,kolathur,50.0,796,2,0
orchid garden,old perungalathur,44.1,848,2,0
new apartment,rajakilpakkam,85.0,1326,3,0
dwaraka flats,adambakkam,109.00000000000001,1093,3,0
orchid gardens,tambaram,44.16,849,2,0
new flat,kolathur,50.0,795,2,0
on request,kolathur,41.66,683,2,0
kg house of champions,perumbakkam,49.0,840,2,0
"sai gokul avenue, kelambakkam, chennai",kelambakkam,40.0,900,2,0
dhanalaxmi homes,nanganallur,192.0,1746,3,0
srb ruby home,perambur,73.95,986,2,0
navganesh eden,kolathur,43.13,707,2,0
adinath apartments,purasaiwakkam,220.00000000000003,1800,3,0
new flat,ambattur,42.0,852,2,0
livehomes,adambakkam,92.61,842,2,0
orchid gardens,tambaram,48.47,932,2,0
"padappai, chennai, chennai south",padappai,32.0,800,2,0
"guduvancheri, chennai, chennai south",guduvancheri,35.9,800,2,0
tdc lifespace,"viduthalai nagar, kovilambakkam",58.0,1210,3,0
jayam sri sai dual avenue,navalur,90.0,1401,3,0
"navalur, chennai, chennai south",navalur,78.0,1020,2,0
lakshmi flat,kovilambakkam,56.42,868,2,0
vijaya shree gardern,thoraipakkam,29.5,597,1,0
"guduvancheri, chennai, chennai south",guduvancheri,37.0,1000,2,0
urbanrise revolution one,padur,36.0,525,1,0
doshi euphoria,perungudi,40.0,415,1,1
"guduvancheri, chennai, chennai south",guduvancheri,32.0,800,2,0
"guduvancheri, chennai, chennai south",guduvancheri,29.0,600,1,0
livehomes,mugalivakkam,68.01,913,2,0
livehomes,porur,58.73,816,2,0
livehomes,ponmar,89.0,1690,3,0
praveen vetrivela,west mambalam,50.0,750,2,0
tvh svasti,thoraipakkam,80.0,1085,2,0
vgn fairmont,"dy,  south",171.0,1712,3,0
vikas vibhav,gerugambakkam,70.0,600,2,0
"perumbakkam, chennai, chennai south",perumbakkam,78.3,1200,3,0
purvankara swan lake,padur,88.0,1740,3,0
dra d elite,ganallur,74.05,1058,2,0
zion,ganallur,60.05,910,2,0
chellappa flats,purasaiwakkam,52.9,605,2,0
chellappa flats,purasaiwakkam,91.8,1080,3,0
papa builder,adambakkam,96.47,877,2,0
kars investment,"kodambakkam, gst road",125.0,1200,3,0
"guduvancheri, chennai, chennai south",guduvancheri,42.9,1050,2,0
lancor infinys,keelkattalai,106.0,1115,3,0
mahalakshmi flats,"anbu nagar, valasaravakkam",76.0,1223,3,0
"mangadu, chennai, chennai west",mangadu,57.0,720,2,0
kg house of champions,perumbakkam,45.0,796,2,0
kg house of champions,perumbakkam,46.0,835,2,0
dhanalakshmi nagar,iyyappanthangal,59.0,831,2,0
ramaniyam maanas,velachery,100.0,952,2,0
sri sai garden,perumbakkam,82.23,1000,3,0
on request,"velan nagar, valasaravakkam",75.0,917,2,0
on request,"alwarthirunagar, valasaravakkam",79.0,975,2,0
samanta,"gaperumal koil, gst road",24.9,530,1,0
samant,"gaperumal koil, gst road",18.9,405,1,0
arun excello lalithangi,"mettupalayam, gst road",29.5,750,2,0
prince village phase 1,tondiarpet,65.0,790,2,1
sri sai ram flats,porur gardens,67.25,957,2,0
"mangadu, chennai, chennai west",mangadu,77.95,881,2,0
"mangadu, chennai, chennai west",mangadu,80.0,600,3,0
vgn ernest,avadi,16.0,510,1,1
jr annai construction,ponmar,45.0,1049,3,0
ananaya flats,keelkattalai,68.98,958,2,0
"navalur, chennai, chennai south",navalur,88.0,1200,3,0
casagrand pavilion,"thalambur, omr",88.0,900,3,1
"mangadu, chennai, chennai west",mangadu,78.0,700,3,0
marg pushpadruma,"thiruporur, omr",31.0,972,3,0
"gerugambakkam, chennai, chennai west",gerugambakkam,58.0,600,2,0
olympia opaline,navalur,120.0,1792,3,1
"kanathur, ecr, chennai south","kanathur, ecr",225.0,2560,5,0
gemini aster,"thalambur, omr",41.9,980,2,1
gemini aster,"thalambur, omr",54.9,1260,3,1
gemini aster,"thalambur, omr",37.9,870,2,1
gemini aster,"thalambur, omr",52.9,1240,3,1
gemini aster,"thalambur, omr",35.9,840,2,1
"agaram, perambur, chennai north","agaram, perambur",59.0,1150,2,0
"gerugambakkam, chennai, chennai west",gerugambakkam,67.0,600,2,0
sangamithra avenue,guduvancheri,50.0,1050,2,0
"sterling bay, ecr, chennai","mahabalipuram, ecr",28.0,610,2,0
shanthi nagar,"krishna nagar extension, west tambaram",95.0,1297,3,0
"mugalivakkam, chennai, chennai west",mugalivakkam,120.0,1155,2,0
shanu flats,medavakkam,73.84,1241,3,0
shanu flats,medavakkam,61.88,1040,2,0
new flat,ambattur,51.95,1000,2,0
olympia opaline,navalur,120.0,1750,3,1
residential apartment,pallikaranai,47.7,852,2,0
sri sai garden,perumbakkam,83.62,1000,3,0
casagrand pavilion,"thalambur, omr",79.5,1050,2,1
new flat,valasaravakkam,45.23,521,1,0
new flat,ramapuram,96.9,969,2,0
new flat,valasaravakkam,76.55,881,2,0
new flat,valasaravakkam,45.24,520,1,0
on request,ponmar,35.0,700,2,0
prema,chitlapakkam,81.0,1248,3,0
"sudarshan flats, radha nagar",chromepet,60.0,801,2,0
jayam sri sai garden hill view,perumbakkam,73.21,950,2,0
plaza elite acres,perumbakkam,39.5,627,2,0
gemini aster,"thalambur, omr",49.9,980,2,1
srb smiley house,"ballard street, perambur",56.63,755,2,0
xs real en veedu phase 2,guduvancheri,19.9,472,1,0
sri sai ram apartment,porur gardens,66.0,816,2,0
"vaani garden , anbzhagan street , ambattur","vijayalakshmi puram, ambattur",53.0,838,2,0
vijayasree sanjeevi apartments,thoraipakkam,45.0,731,2,0
"vettuvankeni, ecr, chennai south","vettuvankeni, ecr",260.0,2300,4,0
ttm lotus avenue,ayappakkam,34.0,700,2,0
revolution one,padur,59.4,910,3,0
revolution one,padur,43.9,663,2,0
shirdi graha,west mambalam,88.0,1000,2,0
"red hills, chennai, chennai north",red hills,41.86,1000,2,0
"grt apartment, 3rd avenue","banu nagar, ambattur",47.0,841,2,0
olympia opaline,navalur,99.0,1710,3,1
new flat,kolathur,43.12,703,2,0
sangath apartment,velachery,66.0,897,2,0
ramaniyam magnum,"taramani, omr",130.0,1172,2,0
on request,choolaimedu,65.0,800,2,0
vijay raja exurb,"thiruporur, omr",25.0,515,2,1
"akshara apartment, nallathambi nagar","ranganathapuram, medavakkam",50.0,905,2,0
"ayanambakkam, chennai, chennai north",ayanambakkam,98.0,775,3,0
marutham breeze,"west tambaram,  south",40.0,986,2,0
halls towers,egmore,90.0,1300,3,0
ceebros sankalp,alwarpet,400.0,1860,3,0
new house,mangadu,58.0,580,2,0
vijay shanthi lotus pond,kelambakkam,51.0,1155,3,1
sri hari apartment,t nagar,55.0,750,2,0
shriram park 63,perungalathur,160.0,2135,4,1
fair field,kilpauk,209.0,1430,3,0
navganesh eden,"ayagapuram, ambattur",41.66,683,2,0
"purasaiwakkam, chennai, chennai central",purasaiwakkam,110.00000000000001,1197,6,0
"sembakkam, chennai, chennai south",sembakkam,190.0,1740,4,0
shriram park 63,perungalathur,85.13,1135,2,1
"iyyappanthangal, chennai, chennai west",iyyappanthangal,90.0,1270,3,0
orchid gardens,tambaram,70.76,1360,3,0
hiranandani sinovia,"egattur, omr",199.0,1740,3,0
"1st floor, karthick nest",t nagar,90.0,900,2,0
dwaraka flats,adambakkam,84.19,842,2,0
sri gajalakshmi apartment,"pattaravakkam, ambattur",24.0,520,1,0
srb ruby homes,perambur,74.0,987,2,0
"poonamallee, chennai, chennai west",poonamallee,56.5,500,2,0
urbando orion,adambakkam,138.0,1114,3,0
maharani maaligai,mogappair west,55.0,786,2,0
kanish villa,"kodambakkam, gst road",66.0,3600,2,0
vgk sai hardik,east tambaram,55.0,1228,2,0
g square synergy,perumbakkam,100.0,605,4,0
tower of adyar by nahar,adyar,330.0,2380,4,1
thachi arunachalam st,mylapore,65.0,550,2,0
jayam sri sai garden hill view,perumbakkam,97.0,1400,3,0
sri sai resident,perumbakkam,89.0,1000,3,0
madhav apartments,"balaji nagar, royapettah",90.0,750,2,0
jains brindavan,west mambalam,85.0,880,2,0
srb ruby home,perambur,80.63,1075,3,0
livehomes,kottivakkam,94.45,969,2,0
green house,ponniammanmedu,48.0,676,2,0
happy homes,kolathur,83.98,1119,3,0
livehomes,west mambalam,149.0,1076,3,0
"avadi, chennai, chennai north",avadi,36.4,800,2,0
"avadi, chennai, chennai north",avadi,54.9,1200,3,0
"kattupakkam, chennai, chennai west",kattupakkam,145.0,1140,3,0
excel vijay jagat,thoraipakkam,55.0,820,2,0
on request,medavakkam,62.99,1012,2,0
orchid garden,tambaram,75.85,1459,3,0
orchid garden,tambaram,53.24,1024,2,0
s c giri homes,korattur,47.0,1000,3,0
starwood towers 2.0,medavakkam,51.0,601,2,0
starwood towers 2.0,medavakkam,48.0,591,2,0
on request,adyar,350.0,1899,3,0
orchid park,tambaram,44.09,848,2,0
prema,chitlapakkam,62.0,959,2,0
shantiniketan vega,kelambakkam,35.0,777,2,0
"saligramam, arcot road, chennai west","saligramam, arcot road",265.0,2160,3,0
malles ahaana,pallikaranai,65.0,989,2,0
lake vista's,pallikaranai,120.0,2139,3,0
hansa avenue apartment,arumbakkam,63.0,723,2,0
jayam sri sai avenue annexe,navalur,75.23,1000,2,1
casagrand pavilion,"thalambur, omr",78.21,1000,3,1
alliance humming gardens,kelambakkam,160.0,1829,4,1
jayam sri sai dual avenue,navalur,83.0,900,3,0
prestige bella vista,porur,181.0,1990,3,1
prestige bella vista,porur,105.0,1166,2,1
mohan gihon,"senthurpuram, kattupakkam",59.0,1045,3,0
akila heights,east tambaram,125.0,1337,3,1
